sample	source	readname_prefix
14350_p1	blood	m84046_231020_221130_s2
14350_s1	blood	m84046_231013_224010_s1
14350_s1	blood	m84046_231014_170238_s2
14455_p1	blood	m54329U_190811_145616
14455_p1	blood	m54329U_190813_203215
14455_p1	blood	m54329U_190815_234620
14455_p1	blood	m54329U_191028_191703
14455_p1	blood	m64076_191026_025203
14455_s1	blood	m64076_190927_204324
14455_s1	blood	m64076_191024_014536
14455_s1	blood	m64076_191027_090409
14455_s1	blood	m64076_191028_152846
14543_p1	blood	m84046_230805_202427_s1
14543_p1	blood	m84046_230805_205533_s2
14543_p1	blood	m84046_230815_203401_s1
14543_s1	cells	m84046_230907_224004_s4
14543_s1	cells	m84046_230909_000116_s2
14616_p1	blood	m54329U_230118_201312
14616_p1	blood	m54329U_230120_052503
14616_p1	blood	m54329U_230121_144438
14616_p1	blood	m84046_230327_230821_s4
14616_s1	blood	m64076_230127_045323
14616_s1	blood	m64076_230128_142138
14616_s1	blood	m64076_230129_235626
14616_s1	blood	m84046_230327_230821_s4
14660_p1	blood	m84046_231128_054207_s1
14660_p1	blood	m84046_231129_053528_s4
14660_p1	cells	m84046_240119_174103_s4
14660_s1	blood	m84046_231128_054207_s1
14660_s1	blood	m84046_231129_053528_s4
14660_s1	blood	m84046_231203_190144_s3
14694_p1	blood	m84046_230920_211713_s2
14694_p1	blood	m84046_230921_225539_s3
14694_p1	blood	m84046_230921_232645_s4
14694_s1	blood	m84046_230920_211713_s2
14694_s1	blood	m84046_230921_225539_s3
14694_s1	blood	m84046_230921_232645_s4
BK143_p1	blood	m54119U_210120_230239
BK143_p1	blood	m54119U_210122_051807
BK143_p1	blood	m54119U_210123_104625
BK143_p1	blood	m54119U_210124_171448
BK143_p1	blood	m64229e_210129_050403
BK143_p1	blood	m64229e_210131_143430
BK486_p1	blood	m84046_230411_211833_s1
BK486_p1	blood	m84046_230413_194722_s1
BK486_p1	blood	m84046_230413_201745_s2
BK486_p1	blood	m84046_230424_212051_s3
